ask_price,bid_price,ask_size,bid_size,cur_price,cur_volume,macd,macd_signal,macd_hist,stoch_slowk,stoch_slowd,vave,sma,rsi,stddev
4526421.23287671,4489130.1369863,999999999999.0,999999999999.0,4507486.842105263,0.144873149210526,44934.52246954758,56372.46916999944,-11437.94670045186,32.37179487179484,47.058404558404526,4684266.666666667,4684266.666666667,70.66554414446016,5455.272678794342
4523631.75675676,4488310.81081081,999999999999.0,999999999999.0,4506723.849372385,0.0920057177405858,42505.928922080435,53599.161120415636,-11093.232198335201,32.88461538461536,37.07977207977205,4689633.333333333,4689633.333333333,71.50696073428819,1959.5917942265426
4531783.13253012,4496469.87951807,999999999999.0,999999999999.0,4511516.666666667,0.1536700435,39400.83792139217,50759.49648061094,-11358.65855921877,20.530303030303006,28.595571095571064,4694300.0,4694300.0,66.86002396238638,2939.3876913398135
4713928.57142857,4668095.23809524,999999999999.0,999999999999.0,4693615.384615385,0.187841221538462,33328.178728017025,47273.232930092156,-13945.05420207513,22.374565325384975,25.263161246767776,4697666.666666667,4697666.666666667,50.997577881103894,18126.224096595517
4715337.20930233,4675546.51162791,999999999999.0,999999999999.0,4695000.0,0.371523796,25717.654531178065,42962.11725030934,-17244.462719131276,9.844444843457262,17.583104399715076,4699733.333333333,4699733.333333333,42.56852758385048,31193.58908493859
4734893.61702128,4708131.20567376,999999999999.0,999999999999.0,4721100.0,0.161929395428571,20259.635237003677,38421.620847648206,-18161.98561064453,11.633418921587968,14.617476363476728,4701900.0,4701900.0,45.68709486645655,32028.73709655128
4736202.53164557,4708898.73417722,999999999999.0,999999999999.0,4722333.333333333,0.0900172677777778,15832.302340006456,33903.75714611985,-18071.454806113397,10.97228419852246,10.816715987855892,4703933.333333333,4703933.333333333,46.002857422790235,25287.15088735779
4678363.63636364,4648963.63636364,999999999999.0,999999999999.0,4662636.363636363,0.111429917272727,11943.852892615832,29511.776295419048,-17567.923402803215,14.798700976746469,12.468134698952293,4706033.333333333,4706033.333333333,45.15471911535717,10256.705123966469
4683230.15873016,4650563.49206349,999999999999.0,999999999999.0,4667151.515151516,0.148733195757576,9000.550870954059,25409.53121052605,-16408.98033957199,22.360376249265116,16.04378714151134,4707766.666666667,4707766.666666667,46.22246389023919,4147.288270665545
4689150.0,4658200.0,999999999999.0,999999999999.0,4675125.0,0.22466954125,7549.239590496756,21837.47288652019,-14288.233296023434,48.89463998159649,28.68457240253602,4707166.666666667,4707166.666666667,50.383477947402454,5314.132102234569
4688953.48837209,4659046.51162791,999999999999.0,999999999999.0,4675000.0,0.0230649775,5927.280728708021,18655.434454957758,-12728.153726249737,66.48723257418908,45.91408293501689,4705800.0,4705800.0,48.692891854761406,5491.812087098392
4685713.82636656,4655173.63344051,999999999999.0,999999999999.0,4670753.623188406,0.402797951739131,4429.4237204268575,15810.232308051578,-11380.80858762472,73.15389924085575,62.845257265547104,4704866.666666667,4704866.666666667,47.99910358918052,5268.775948927796
4680762.98701299,4650035.71428571,999999999999.0,999999999999.0,4664653.846153846,0.249943501538462,3364.95542367734,13321.176931176731,-9956.221507499391,63.49206349206347,67.71106510236943,4703966.666666667,4703966.666666667,48.7849606797593,3867.815921162743
4676843.94904459,4644452.22929936,999999999999.0,999999999999.0,4656203.703703703,0.258176442962963,1774.6745025916025,11011.876445459706,-9237.201942868103,43.23062558356674,59.95886277216198,4702833.333333333,4702833.333333333,45.455910765794364,4534.313619501853
4673808.91719745,4640929.93630573,999999999999.0,999999999999.0,4651969.696969697,0.225246777373737,1465.7686584079638,9102.654888049357,-7636.886229641394,52.3881347410759,53.03694127223537,4701533.333333333,4701533.333333333,50.32344727934004,4029.8883359219767
4677517.24137931,4645882.75862069,999999999999.0,999999999999.0,4657250.0,0.120434343333333,1127.2724140081555,7507.578393241117,-6380.305979232961,52.746557680144,49.455106001595546,4699466.666666667,4699466.666666667,49.92362127128802,4261.4551505325035
4715200.0,4690000.0,999999999999.0,999999999999.0,4701000.0,0.070868305,609.9061551308259,6128.043945619059,-5518.137790488233,70.14061207609593,58.42510149910529,4697600.0,4697600.0,48.67420975528554,4242.640687119285
4713759.61538462,4686269.23076923,999999999999.0,999999999999.0,4700472.222222222,0.187692345277778,277.38380239065737,4957.9119169733785,-4680.528114582721,62.36559139784944,61.750920384696464,4696100.0,4696100.0,49.1312077348346,4242.640687119285
4713990.0,4683920.0,999999999999.0,999999999999.0,4698400.0,0.026783799,1130.508639389649,4192.4312614566325,-3061.9226220669834,71.21351766513055,67.90657371302531,4694766.666666667,4694766.666666667,55.15176522940697,5388.877434122992
4725140.35087719,4689845.61403509,999999999999.0,999999999999.0,4710450.0,0.2151728368,1865.8000798942521,3727.1050251441566,-1861.3049452499044,75.38809072015901,69.65573326104635,4693366.666666667,4693366.666666667,55.55638888368,7014.271166700073
4720171.20622568,4681583.65758755,999999999999.0,999999999999.0,4700911.392405063,0.199019512025316,2101.5321192657575,3401.990443968477,-1300.4583247027194,71.00736590932668,72.5363247648721,4691866.666666667,4691866.666666667,53.47800490673145,6910.861017268398
4705174.75728155,4672375.40453074,999999999999.0,999999999999.0,4688976.7441860465,0.255403490465116,2661.133778383024,3253.8191108513865,-592.6853324683625,61.80101670297748,69.39882444415441,4691266.666666667,4691266.666666667,55.708527329185756,5844.655678480983
4706640.12738854,4668025.47770701,999999999999.0,999999999999.0,4683014.492753623,0.138537439565217,2829.925576513633,3169.040403983836,-339.1148274702027,56.22032288698954,63.00956849976459,4690166.666666667,4690166.666666667,54.034526958623516,1720.4650534085254
